tx_hash,time,value_btc,n_inputs,n_outputs,fee_btc,from,to,is_error
0xf97b1174ad07360aca6c4a408940ae190009a5e865fb3ccf8d7dfc6f7773b3d2,2025-12-03 12:15:23,0.0001,1,1,2.611724816376e-06,0x6b3ae7e1deccb945e00229856693eebe699bc451,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0xd722811b7fd6c517b03d4cecf8d6722654f3524cdbc0aed8ff581935060a82b0,2025-12-03 12:03:23,1.2122025e-05,1,1,2.22831968751e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0x18bdc15c171f77db182f597867297d1992257e90e52008091d2c41f241d15f2d,2025-12-03 12:02:59,1.2122025e-05,1,1,2.2264238631908e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0xdded6fe29b6d2b68122cdc544b2fc5b43e9de21a80720e7456844672189909aa,2025-12-03 12:02:47,1.2122025e-05,1,1,2.2193584152018e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0x03d7db054369a01c95309e87a73d90c5d505540035c22ec49702c6bc5ea46328,2025-12-03 12:02:23,1.2122025e-05,1,1,2.2250440262786e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0x401ae862b12ab8409b3cc879e804a2d1bcce809a8753cb0d23df2f6dd3e9860f,2025-12-03 12:00:11,1.2122025e-05,1,1,2.2010312800964e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0x2428948f2d95689ecad85a29438535c3795d6f42a792b7fd39c6764fd149e304,2025-12-03 11:59:59,1.2122025e-05,1,1,2.1962445277812e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0xd3ba204168443f2e11854b730d8dec447a61ce8a76fb224c6849af98d8339bcd,2025-12-03 11:59:47,1.2122025e-05,1,1,2.1962187921234e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0xb087648db538170194c1aa16946ecfe92ff79a56c6bc2819f0ee2fa3a201e133,2025-12-03 11:59:35,1.2122025e-05,1,1,2.1877039626044e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0xc6bbf563b9848a2ecacb2182944344da5329ea66e9dfb73876d75a11f4e629c7,2025-12-03 11:59:11,1.2122025e-05,1,1,2.197742412991e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0x1e3167a2af80f112d01222b8e3d0daaf77415703844dee395fa30d3ff528e03b,2025-12-03 11:58:59,1.2122025e-05,1,1,2.1893578140304e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
0x81a95137ff0fa140ff024a07837eb5bd1dbc08bfb273d06477c9fe187a248ad0,2025-12-03 11:58:35,1.2122025e-05,1,1,2.194735875677e-05,0xf8fc9a91349ebd2033d53f2b97245102f00aba96,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0
